Ground Truth Ride Name    Omitted Ride Name                      Rating    Date
Roller Coaster            It was thrilling and fast-paced.        4/5       2023-01-15
Ferris Wheel              The view from the top was amazing.      5/5       2023-02-10
Roller Coaster            The loops were exhilarating!             4.5/5     2023-03-05
Carousel                  Great fun for the kids.                  3/5       2023-04-01
Ferris Wheel              Enjoyed the breathtaking sunset view.    4/5       2023-04-28
Roller Coaster            The drops were heart-stopping!           4/5       2023-05-05
Carousel                  Nostalgic ride with classic music.       3.5/5     2023-06-02
Roller Coaster            The twists and turns were incredible.     4.5/5     2023-06-29
Ferris Wheel              A romantic ride with my loved one.        4/5       2023-07-26
Roller Coaster            Adrenaline rush from start to finish.     5/5       2023-08-22
Carousel                  Magical experience for all ages.          4/5       2023-09-18
Ferris Wheel              Captivating views of the city.            4.5/5     2023-10-15
Roller Coaster            The speed was incredible!                 4/5       2023-11-10
Carousel                  Beautifully decorated with lights.        3/5       2023-12-07
Roller Coaster            Heart-pounding drops and twists.          4.5/5     2024-01-03
Ferris Wheel              Spectacular panorama from the top.        4/5       2024-01-30
Carousel                  Fun-filled ride for the family.           3.5/5     2024-02-26
Roller Coaster            Thrills and excitement guaranteed.        5/5       2024-03-24
Ferris Wheel              Breathtaking views at night.              4/5       2024-04-20
Roller Coaster            The adrenaline rush was unbeatable.       4/5       2024-05-17
Carousel                  Classic ride with a touch of nostalgia.   3/5       2024-06-13
Ferris Wheel              Enjoyed the gentle and smooth ride.       4.5/5     2024-07-10
Roller Coaster            Unforgettable experience!                 5/5       2024-08-06
Carousel                  Joyful ride with lively music.            4/5       2024-09-03
Ferris Wheel              Scenic views of the surrounding area.     4/5       2024-09-30
Roller Coaster            It was thrilling and fast-paced.        4/5       2023-01-15
Ferris Wheel              The view from the top was amazing.      5/5       2023-02-10
Roller Coaster            The loops were exhilarating!             4.5/5     2023-03-05
Carousel                  Great fun for the kids.                  3/5       2023-04-01
Ferris Wheel              Enjoyed the breathtaking sunset view.    4/5       2023-04-28
Roller Coaster            The drops were heart-stopping!           4/5       2023-05-05
Carousel                  Nostalgic ride with classic music.       3.5/5     2023-06-02
Roller Coaster            The twists and turns were incredible.     4.5/5     2023-06-29
Ferris Wheel              A romantic ride with my loved one.        4/5       2023-07-26
Roller Coaster            Adrenaline rush from start to finish.     5/5       2023-08-22
Carousel                  Magical experience for all ages.          4/5       2023-09-18
Ferris Wheel              Captivating views of the city.            4.5/5     2023-10-15
Roller Coaster            The speed was incredible!                 4/5       2023-11-10
Carousel                  Beautifully decorated with lights.        3/5       2023-12-07
Roller Coaster            Heart-pounding drops and twists.          4.5/5     2024-01-03
Ferris Wheel              Spectacular panorama from the top.        4/5       2024-01-30
Carousel                  Fun-filled ride for the family.           3.5/5     2024-02-26
Roller Coaster            Thrills and excitement guaranteed.        5/5       2024-03-24
Ferris Wheel              Breathtaking views at night.              4/5       2024-04-20
Roller Coaster            The adrenaline rush was unbeatable.       4/5       2024-05-17
Carousel                  Classic ride with a touch of nostalgia.   3/5       2024-06-13
Ferris Wheel              Enjoyed the gentle and smooth ride.       4.5/5     2024-07-10
Roller Coaster            Unforgettable experience!                 5/5       2024-08-06
Carousel                  Joyful ride with lively music.            4/5       2024-09-03
Ferris Wheel              Scenic views of the surrounding area.     4/5       2024-09-30
Roller Coaster            Exhilarating twists and turns!            4.5/5     2024-10-27
Water Dunk Challenge      Splashed and soaked through
Roller Coaster            It was thrilling and fast-paced.        4/5       2023-01-15
Ferris Wheel              The view from the top was amazing.      5/5       2023-02-10
Roller Coaster            The loops were exhilarating!             4.5/5     2023-03-05
Carousel                  Great fun for the kids.                  3/5       2023-04-01
Ferris Wheel              Enjoyed the breathtaking sunset view.    4/5       2023-04-28
Roller Coaster            The drops were heart-stopping!           4/5       2023-05-05
Carousel                  Nostalgic ride with classic music.       3.5/5     2023-06-02
Roller Coaster            The twists and turns were incredible.     4.5/5     2023-06-29
Ferris Wheel              A romantic ride with my loved one.        4/5       2023-07-26
Roller Coaster            Adrenaline rush from start to finish.     5/5       2023-08-22
Carousel                  Magical experience for all ages.          4/5       2023-09-18
Ferris Wheel              Captivating views of the city.            4.5/5     2023-10-15
Roller Coaster            The speed was incredible!                 4/5       2023-11-10
Carousel                  Beautifully decorated with lights.        3/5       2023-12-07
Roller Coaster            Heart-pounding drops and twists.          4.5/5     2024-01-03
Ferris Wheel              Spectacular panorama from the top.        4/5       2024-01-30
Carousel                  Fun-filled ride for the family.           3.5/5     2024-02-26
Roller Coaster            Thrills and excitement guaranteed.        5/5       2024-03-24
Ferris Wheel              Breathtaking views at night.              4/5       2024-04-20
Roller Coaster            The adrenaline rush was unbeatable.       4/5       2024-05-17
Carousel                  Classic ride with a touch of nostalgia.   3/5       2024-06-13
Ferris Wheel              Enjoyed the gentle and smooth ride.       4.5/5     2024-07-10
Roller Coaster            Unforgettable experience!                 5/5       2024-08-06
Carousel                  Joyful ride with lively music.            4/5       2024-09-03
